avg_Rgx2,avg_Rgy2,avg_Rgz2,diff,avg_Rg2/3
0.0,0.0,33.25000000000001,0.0,11.083333333333336
0.4648217255138889,0.5992132711666667,17.670663021150013,0.13439154565277778,6.244899339276856
0.48772375395833323,0.5736662601861107,15.77818562890278,0.08594250622777744,5.613191881015741
0.6614679138194445,0.6816115475500001,13.950020587247222,0.02014363373055561,5.097700016205556
0.7507105188722225,0.806706975425,12.54748862245,0.05599645655277752,4.701635372249075
1.0198948108666666,0.888747978525,10.32841318942778,0.13114683234166657,4.079018659606482
1.3123457177388889,1.0557558534416664,6.023648333958332,0.2565898642972224,2.7972499683796292
1.1936304962611108,1.6151423083861112,4.305117113613889,0.42151181212500033,2.3712966394203705
1.734787272238889,1.7898712173111109,2.025237965530556,0.05508394507222181,1.8499654850268523
1.8239999071749997,1.8302847220388894,1.6474901399055557,0.006284814863889654,1.7672582563731483
1.964205943138889,1.8827483134166667,1.5611161810472225,0.08145762972222226,1.8026901458675928
1.6659065274833331,1.6780350940611115,1.7523118868333338,0.012128566577778388,1.6987511694592594
1.7867622198833335,1.6456398977944449,1.5371602182472226,0.14112232208888864,1.6565207786416671
1.7870126679249998,1.7400901978999999,1.5318851850777777,0.04692247002499994,1.6863293503009258
1.559419298630555,1.819119653463889,1.3836864949305554,0.25970035483333387,1.5874084823416663
1.6839932383083331,2.249865607075,1.4492326411194443,0.5658723687666667,1.794363828834259
1.612381976002778,1.859720167105556,1.4185509432583332,0.2473381911027781,1.6302176954555556
2.0655537726833333,1.9476394411555558,1.5380413597611107,0.11791433152777753,1.8504115245333332
1.618645292461111,1.8956853598194445,1.6437229462749998,0.27704006735833353,1.7193511995185184
1.9964495736388888,1.3255958132944445,1.9956303472583328,0.6708537603444442,1.7725585780638886
1.694379013177778,1.5194497521499999,1.477603439191667,0.17492926102777817,1.563810734839815
1.531657710408333,1.758044696638889,1.7442235023333337,0.22638698623055586,1.6779753031268518
1.4489571215916675,1.5012829944388892,1.834851630480555,0.05232587284722179,1.5950305821703707
1.4613600136916671,1.520999259802778,2.2782600710750005,0.05963924611111082,1.7535397815231484
1.7907522703722225,1.8020579370194443,1.2459055198694449,0.011305666647221768,1.6129052424203705
2.0148038109249993,1.5908568834388885,1.5764228706750003,0.42394692748611074,1.727361188346296
1.7540892060944442,1.583645455116667,1.5743345663055555,0.1704437509777772,1.6373564091722221
1.7296937789833333,1.7258232141222223,1.3450036106583332,0.0038705648611110366,1.6001735345879629
1.6454007544805558,1.9197233574944446,1.6660970509222226,0.2743226030138888,1.7437403876324076
1.4496088139805554,1.9355961939472226,2.128434859791666,0.4859873799666672,1.8378799559064813
1.8009869027555554,1.9886030909861114,2.012942427358334,0.18761618823055604,1.9341774737000001
1.4386238185805558,1.953828598297222,1.9628465677166669,0.5152047797166663,1.7850996615314816
1.900897620444445,1.7096841302722219,1.2884322540138886,0.1912134901722231,1.6330046682435186
1.6332405602472222,1.871745513463889,2.0424609778222225,0.23850495321666676,1.849149017177778
1.5054257617444442,1.8328380532138888,1.537880620288889,0.3274122914694446,1.6253814784157408
1.685405834447222,1.74492404945,2.1317877962500003,0.059518215002777985,1.8540392267157408
1.7593563881249998,1.6207314076916672,2.0779079018138886,0.1386249804333326,1.8193318992101855
1.4028818307027777,1.799832048813889,1.6815597985305548,0.3969502181111113,1.6280912260157405
1.7923977862749996,1.6347443607083334,1.6982943538027777,0.15765342556666617,1.7084788335953702
1.8644877235777777,1.7634727026694443,1.2255322519194447,0.10101502090833336,1.6178308927222222
1.7104417695833334,1.9334562332361114,1.3283293306666666,0.223014463652778,1.6574091111620373
